0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:34:01 +0900] "GET /Semi/imgProd/43_hard_Rainbow%20bear-pinkyellow.jpg HTTP/1.1" 200 88568
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:34:01 +0900] "GET /Semi/imgProd/44_hard_Bear%20and%20rabbit-white.jpg HTTP/1.1" 200 44420
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:34:01 +0900] "GET /Semi/imgProd/42_hard_Bear%20friends-white.jpg HTTP/1.1" 200 42337
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:34:03 +0900] "GET /Semi/product/detail.sa?cateno=1&prodcode=123-306 HTTP/1.1" 200 42900
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:34:03 +0900] "GET /resources/demos/style.css HTTP/1.1" 404 1148
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:34:03 +0900] "GET /Semi/imgProd/HD12.jpg HTTP/1.1" 200 217708
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:34:03 +0900] "GET /resources/demos/external/jquery-mousewheel/jquery.mousewheel.js HTTP/1.1" 404 1194
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:34:03 +0900] "GET /resources/demos/style.css HTTP/1.1" 404 1148
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:34:03 +0900] "GET /resources/demos/external/jquery-mousewheel/jquery.mousewheel.js HTTP/1.1" 404 1194
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:34:06 +0900] "GET /Semi/board/product/write.sa?boardNo=2&prodcode=123-306 HTTP/1.1" 200 25334
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:34:35 +0900] "POST /Semi/board/product/write.sa HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:34:37 +0900] "GET /Semi/board/product/list.sa?boardNo=2 HTTP/1.1" 200 35859
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:34:43 +0900] "GET /Semi/product/list.sa?cateno=2 HTTP/1.1" 200 29765
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:34:43 +0900] "GET /Semi/imgProd/50_tough_dancing%20bear-black(%ED%84%B0%ED%94%84%EC%8A%AC%EB%9D%BC%EC%9D%B4%EB%93%9C).jpg HTTP/1.1" 200 70749
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:34:43 +0900] "GET /Semi/imgProd/49_tough_dancing%20bear-blue(%ED%84%B0%ED%94%84%EC%8A%AC%EB%9D%BC%EC%9D%B4%EB%93%9C).jpg HTTP/1.1" 200 102553
